rgn_id,location,ecorgn,CVEGEO,CVE_ENT,estado,population_10km_2020
Region_1,land,Upper_Gulf,02,02,Baja California,162216
Region_2,land,Midriff_Region,02,02,Baja California,12026
Region_3,land,Central_Gulf,03,03,Baja California Sur,43738
Region_4,land,Southern_Gulf,03,03,Baja California Sur,743110
Region_5,land,Upper_Gulf,26,26,Sonora,53869
Region_6,land,Midriff_Region,26,26,Sonora,79385
Region_7,land,Central_Gulf,26,26,Sonora,326118
Region_8,land,Southern_Gulf,25,25,Sinaloa,657313
Region_9,land,Southern_Gulf,18,18,Nayarit,212164
Region_9,land,Southern_Gulf,14,14,Jalisco,248853
