OHI_Region_No,Region_Name_Proposed,Region_Mel_or_CONAPESCA
Region_1_2_Baja_TBD,NA,BAJA CALIFORNIA
Region_1,Western_Upper_Gulf,Baja_California_North
Region_2,Western_Midriff_Islands,Baja_California_South
Region_3_4_BCS_TBD,NA,BAJA CALIFORNIA SUR
Region_3,Western_Central Gulf,Baja_California_Sur_North
Region_4,Western_Southern_Gulf,Baja_California_Sur_South
Region_4_5_6_Sonora_TBD,NA,SONORA
Region_5,Eastern_Upper_Gulf,Sonora_North
Region_6,Eastern_Midriff_Islands,Sonora_Mid
Region_7,Eastern_Central_Gulf,Sonora_South
Region_8,Sinaloa_Coast,SINALOA
Region_9,Eastern_Southern_Gulf,Nayarit/Jalisco
Region_9,Eastern_Southern_Gulf,NAYARIT
