common_name,species,species_synonym
Abadejo,Pollachius pollachius,Pollachius linnei 
Abadejo,Pollachius pollachius,Gadus pollachius 
Abadejo,Pollachius pollachius,Gadus viridis 
Abadejo,Pollachius pollachius,Pollachius typus 
Abadejo,Pollachius pollachius,Merlangus pollachius 
Abadejo,Pollachius pollachius,Gadus lycostomus 
Abanderado,Epinephelus latifasciatus,Priacanthichthys maderaspatensis
Abanderado,Epinephelus latifasciatus,Serranus latifasciatus
Abanderado,Epinephelus latifasciatus,Serranus grammicus
Abanderado,Epinephelus latifasciatus,Epinephelus grammicus 
Abanderado,Lutjanus carponotatus,Lutianus chrysotaenia
Abanderado,Lutjanus carponotatus,Mesoprion carponotatus
Abanderado,Lutjanus carponotatus,Lutjanus carponatus
Abanderado,Lutjanus carponotatus,Lutjanus chrysotaenia
Abanderado,Lutjanus carponotatus,Mesoprion chrysotaenia
Abanderado,Lutjanus carponotatus,Mesoprion naborer
Abanderado,Pristipomoides auricilla,Arnillo auricilla
Abogado,NA,NA
Abulon amarillo,Haliotis corrugata ,Haliotis corrugata corrugata
Abulon amarillo,Haliotis corrugata,Haliotis nodosa  
Abulon amarillo,Haliotis corrugata ,Haliotis diegoensis  
Abulon azul,Haliotis fulgens,Haliotis planilirata  
Abulon azul,Haliotis fulgens,Haliotis splendens  
Abulon blanco,Haliotis sorenseni ,NA
Abulon chino,Haliotis sorenseni ,NA
Abulon negro,Haliotis cracherodii ,Haliotis cracherodii cracherodii
Abulon negro,Haliotis cracherodii ,Haliotis cracherodii var. holzneri 
Abulon negro,Haliotis cracherodii ,Haliotis expansa 
Abulon negro,Haliotis cracherodii ,Haliotis imperforata 
Abulon negro,Haliotis cracherodii ,Haliotis lusus 
Abulon negro,Haliotis cracherodii ,Haliotis rosea 
Abulon negro,Haliotis cracherodii ,Haliotis splendidula
Abulon rayado,Haliotis kamtschatkana assimilis,Haliotis aulaea
Abulon rayado,Haliotis kamtschatkana assimilis,Haliotis smithsoni
Abulon rojo,Haliotis rufescens,Haliotis californiana 
Abulon rojo,Haliotis rufescens ,Haliotis hattorii 
Abulon rojo,Haliotis rufescens ,Haliotis ponderosa 
Abulon rosado,Haliotis corrugata ,Haliotis corrugata corrugata
Abulon rosado,Haliotis corrugata,Haliotis nodosa  
Abulon rosado,Haliotis corrugata ,Haliotis diegoensis  
Abulon se,Haliotis tuberculata coccinea,Haliotis canariensis  
Abulon se,Haliotis tuberculata coccinea,Haliotis coccinea  
Abulon se,Haliotis tuberculata coccinea,Haliotis zealandica  
Acamaya,Macrobrachium americanum,Palaemon americanus 
Acocil se,Cambarellus (Cambarellus) montezumae,Cambarellus montezumae patzcuarensis
Acocil se,Cambarellus zempoalensis,NA
Acocil,Cambarellus (Cambarellus) montezumae,Cambarellus montezumae patzcuarensis
Acocil,Cambarellus zempoalensis,NA
Acumara,Algansea lacustris,Algansea tarascorum
Aguado,Kathetostoma averruncus ,Kathetostoma ornatus
Aguado,Opistognathus rhomaleus ,Opisthognathus rhomaleus
Aguaji,Mycteroperca microlepis,NA
Aguaji,Mycteroperca microlepis,Trisotropis microlepis 
Aguaji,Mycteroperca microlepis,Trisotropis stomias 
Aguaji,Mycteroperca venenosa,Bodianus marginatus 
Aguaji,Mycteroperca venenosa,Bodianus apua 
Aguaji,Mycteroperca venenosa,Perca venenosa 
Aguaji,Mycteroperca venenosa,Mycteroperca bowersi 
Aguaji,Mycteroperca venenosa,Serranus rupestris 
Aguaji,Mycteroperca venenosa,Serranus cardinalis 
Aguaji,Mycteroperca venenosa,Johnius guttatus 
Aguaji,Mycteroperca venenosa,Serranus petrosus 
Aguaji,Mycteroperca venenosa,Bonaci cardenal 
Aguja,Belone belone,Belone cornidii
Aguja,Belone belone,Belone vulgaris
Aguja,Belone belone,Belone acus 
Aguja,Belone belone,Esox belone
Aguja,Belone belone,Belone longirostris 
Aguja,Belone belone,Belone rostrata
Aguja,Belone belone,Hemiramphus obtusus 
Aguja,Belone belone,Hemiramphus balticus
Aguja,Belone belone,Belone euxini 
Aguja,Belone belone,Hemiramphus behnii 
Aguja,Belone belone,Hemiramphus europaeus
Aguja,Belone belone,Belone bellone
Aguja,Belone belone,Belone gracilis 
Aguja,Belone belone,Belone undecimradiata 
Aguja,Belone belone,Macrognathus scolopax
Aguja,Belone belone,Belone linnei
Aguja,Belone belone,Belone vulgaris
Agujilla,Belone belone,Belone cornidii
Agujilla,Belone belone,Belone vulgaris
Agujilla,Belone belone,Belone acus 
Agujilla,Belone belone,Esox belone
Agujilla,Belone belone,Belone longirostris 
Agujilla,Belone belone,Belone rostrata
Agujilla,Belone belone,Hemiramphus obtusus 
Agujilla,Belone belone,Hemiramphus balticus
Agujilla,Belone belone,Belone euxini 
Agujilla,Belone belone,Hemiramphus behnii 
Agujilla,Belone belone,Hemiramphus europaeus
Agujilla,Belone belone,Belone bellone
Agujilla,Belone belone,Belone gracilis 
Agujilla,Belone belone,Belone undecimradiata 
Agujilla,Belone belone,Macrognathus scolopax
Agujilla,Belone belone,Belone linnei
Agujilla,Belone belone,Belone vulgaris
Agujon,Belone belone,Belone cornidii
Agujon,Belone belone,Belone vulgaris
Agujon,Belone belone,Belone acus 
Agujon,Belone belone,Esox belone
Agujon,Belone belone,Belone longirostris 
Agujon,Belone belone,Belone rostrata
Agujon,Belone belone,Hemiramphus obtusus 
Agujon,Belone belone,Hemiramphus balticus
Agujon,Belone belone,Belone euxini 
Agujon,Belone belone,Hemiramphus behnii 
Agujon,Belone belone,Hemiramphus europaeus
Agujon,Belone belone,Belone bellone
Agujon,Belone belone,Belone gracilis 
Agujon,Belone belone,Belone undecimradiata 
Agujon,Belone belone,Macrognathus scolopax
Agujon,Belone belone,Belone linnei
Agujon,Belone belone,Belone vulgaris
Agujon,Ablennes hians ,Ablennes pacificus
Agujon,Ablennes hians ,Ablenes hians
Agujon,Ablennes hians ,Athlennes hians 
Agujon,Ablennes hians ,Belone maculata
Agujon,Ablennes hians ,Mastaccembelus melanostigma 
Agujon,Ablennes hians ,Tylosurus caeruleofasciatus
Agujon,Ablennes hians ,Belone melanostigma
Agujon,Ablennes hians ,Belone hians
Agujon,Ablennes hians ,Mastacembelus fasciatus
Agujon,Ablennes hians ,Belone schismatorhynchus
Agujon,Ablennes hians ,Tylosurus hians
Agujon,Ablennes hians ,Strongylura anastomella
Agujon,Platybelone argalus pterura,Tylosurus pterurus
Agujon,Strongylura exilis,Strongylura tahitiensis 
Agujon,Strongylura exilis,Belone stolzmanni 
Agujon,Strongylura exilis,Strongylura peruana
Agujon,Strongylura exilis,Strongylura stolzmanni 
Agujon,Strongylura exilis,Tylosurus sierrita
Agujon,Strongylura exilis,Belone exilis 
Agujon,Tylosurus pacificus,Belone pacifica 
Agujon,Tylosurus pacificus,Tylosurus acus pacificus 
Agujon,Tylosurus pacificus,Strongylura galapagensis
Agujon,Tylosurus crocodilus ,Belona crocodila
Agujon,Tylosurus crocodilus ,Belone annulata
Agujon,Tylosurus crocodilus ,Belone choram
Agujon,Tylosurus crocodilus ,Belone coromandelica
Agujon,Tylosurus crocodilus ,Belone crassa
Agujon,Tylosurus crocodilus ,Belone crocodila 
Agujon,Tylosurus crocodilus ,Belone crocodilus
Agujon,Tylosurus crocodilus ,Belone cylindrica
Agujon,Tylosurus crocodilus ,Belone gerania
Agujon,Tylosurus crocodilus ,Belone gigantea
Agujon,Tylosurus crocodilus ,Belone koseirensis
Agujon,Tylosurus crocodilus ,Belone marisrubri marisrubri 
Agujon,Tylosurus crocodilus ,Belone melanochira 
Agujon,Tylosurus crocodilus ,Belone melanurus 
Agujon,Tylosurus crocodilus ,Belone raphidoma
Agujon,Tylosurus crocodilus ,Belone robusta
Agujon,Tylosurus crocodilus ,Belone timucoides 
Agujon,Tylosurus crocodilus ,Esox aaveri
Agujon,Tylosurus crocodilus ,Mastaccembelus choram
Agujon,Tylosurus crocodilus ,Strongylura crocodila
Agujon,Tylosurus crocodilus ,Strongylura crocodilus
Agujon,Tylosurus crocodilus ,Strongylura gigantea
Ala de angel,Pholas chiloensis,Pholas laqueata
Ala de angel,Pholas chiloensis,Pholas dilecta
Ala de angel,Pholas chiloensis,Pholas chiloensis
Ala de angel,Pholas chiloensis,Pholas chiloensis parva
Ala de angel,Pholas chiloensis,Pholas retifer
Albacora,Thunnus alalunga,Albacora alalonga 
Albacora,Thunnus alalunga,Orcynus germon 
Albacora,Thunnus alalunga,Orcynus germo 
Albacora,Thunnus alalunga,Scomber germon 
Albacora,Thunnus alalunga,Thunnus pacificus 
Albacora,Thunnus alalunga,Thunnus alalonga 
Albacora,Thunnus alalunga,Thynnus pacificus 
Albacora,Thunnus alalunga,Scomber alatunga 
Albacora,Thunnus alalunga,Orcynus alalonga 
Albacora,Thunnus alalunga,Thunnus germo 
Albacora,Thunnus alalunga,Germo alalunga 
Albacora,Thunnus alalunga,Scomber alalunga 
Albacora,Thunnus alalunga,Scomber germo 
Albacora,Thunnus alalunga,Germo germon steadi
Albacora,Thunnus alalunga,Germo germon 
Albacora,Thunnus alalunga,Thynnus alalunga 
Albacora,Thunnus alalunga,Orcynus alatunga 
Albacora,Thunnus alalunga,Germo alalonga 
