"recorded_taxa_group","recorded_taxa_name_clean","common_name_clean","keywords_1","keywords_2","keywords_3","keywords_4","keywords_5"
"CAMARON","CAMARON ESTERO","camaron estero","DESC","FCO",NA,NA,NA
"CAMARON","CAMARON ESTERO","camaron estero","ENT","FCO",NA,NA,NA
"CAMARON","CAMARON ESTERO","camaron estero","ENT","SECO",NA,NA,NA
"ALMEJA","ALMEJA PATA MULA","almeja pata mula","ENT","FCA",NA,NA,NA
"CAMARON","CAMARON","camaron","DE ALTA MAR","DESC","FCO",NA,NA
"CAMARON","CAMARON ROSADO","camaron rosado","DESC","FCO",NA,NA,NA
"CAMARON","CAMARON ROCA","camaron roca","DESC","FCO",NA,NA,NA
"OTRAS","OTRAS ESPECIES AGUA MARINA SIN REGISTRO OFICIAL","otras especies agua marina sin registro oficial",NA,NA,NA,NA,NA
"OTRAS","CALLO HACHA","callo hacha","S.C.","FCO",NA,NA,NA
"OSTION","OSTION ROCA","ostion roca","ENT","FCO",NA,NA,NA
"CALAMAR","CALAMAR GIGANTE PULPA","calamar gigante pulpa","FCA",NA,NA,NA,NA
"SARDINA","SARDINA JAPONESA","sardina japonesa","ENT","FCA",NA,NA,NA
"SARDINA","SARDINA JAPONESA","sardina japonesa","IND",NA,NA,NA,NA
"LEBRANCHA","OJO PERRA","ojo perra","ENT","FCA",NA,NA,NA
"OSTION","OSTION PLACER","ostion placer","ENT","FCO",NA,NA,NA
"BAGRE","BAGRE CANAL","bagre canal","ENT","FCO",NA,NA,NA
"SARDINA","SARDINA BOCONA","sardina bocona","ENT","FCA",NA,NA,NA
"OTRAS","LUCIO","lucio","ENT","FCO",NA,NA,NA
"TRUCHA","TRUCHA AGUA MARINA","trucha agua marina","DESV","FCA",NA,NA,NA
"SARDINA","SARDINA BOCONA","sardina bocona","IND",NA,NA,NA,NA
"SARDINA","PESCADO","pescado","NO APTO PARA EMPAQUE",NA,NA,NA,NA
"PEPINO DE MAR","PEPINO MAR (ESPECIES ASOCIADAS)","pepino mar","ENT","FCO",NA,NA,NA
"OTRAS","RANA","rana","ENT","FCA",NA,NA,NA
"OTRAS","CALLO HACHA","callo hacha","DE CULTIVO","ENT","FCO",NA,NA
"TRUCHA","TRUCHA AGUA MARINA","trucha agua marina","ENT","FCA",NA,NA,NA
"OTRAS","CANGREJO PULPA","cangrejo pulpa","FCO",NA,NA,NA,NA
"FAUNA","FAUNA ACOMPAÑAMIENTO","fauna acompañamiento",NA,NA,NA,NA,NA
"OTRAS","ESTRELLA MAR","estrella mar","ENT","FCA",NA,NA,NA
"JUREL","","","COCINERO","ENT","FCO",NA,NA
"RUBIO","CHAC-CHI","chac-chi","ENT","FCO",NA,NA,NA
"CAMARON","CAMARON","camaron","DE AGUA DULCE","DESC","FCO",NA,NA
"OTRAS","CANGREJO ERMITAÑO","cangrejo ermitaño","ENT","FCO",NA,NA,NA
"ANCHOVETA","ANCHOVETA","anchoveta","IND",NA,NA,NA,NA
"OTRAS","CALLO HACHA","callo hacha","ENT","FCO",NA,NA,NA
"CAMARON","CAMARON ALTAMAR","camaron altamar","ENT","FCO",NA,NA,NA
"CARPA","CARPA BARRIGONA","carpa barrigona","ENT","FCA",NA,NA,NA
"SARGAZO","SARGAZO","sargazo","ENT","FCO",NA,NA,NA
"CAMARON","CAMARON CRISTAL","camaron cristal","ENT","FCO",NA,NA,NA
"OSTION","OSTION ROCA","ostion roca","S.C.","FCO",NA,NA,NA
"LANGOSTINO","LANGOSTINO","langostino","DE AGUA DULCE","ENT","FCO",NA,NA
"ALGAS","ALGA GELIDIUM","alga gelidium","SECA",NA,NA,NA,NA
"SARDINA","PIÑA","piña","ENT","FCA","IND",NA,NA
"PECES DE ORNATO","ESPECIES ORNATO","especies ornato","VIVAS",NA,NA,NA,NA
"OTRAS","TAMBOR","tambor","ENT","FCO",NA,NA,NA
"OTRAS","RANA","rana","ANCAS DE","FCA",NA,NA,NA
"OTRAS","RANA LEOPARDO","rana leopardo","ENT","FCA",NA,NA,NA
"CAMARON","CAMARON ROSADO","camaron rosado","ENT","FCO",NA,NA,NA
"ANCHOVETA","ANCHOVETA","anchoveta","ENT","FCA",NA,NA,NA
"LANGOSTINO","LANGOSTINO","langostino","DE CULTIVO","ENT","FCO",NA,NA
"CAMARON","CAMARON ESTERO","camaron estero","DESC","COCIDO",NA,NA,NA
"OTRAS","RANA TORO","rana toro","ENT","FCA",NA,NA,NA
"CAMARON","CAMARON ESTERO","camaron estero","ENT","COCIDO",NA,NA,NA
"CAMARON","CAMARON CRISTAL","camaron cristal","DESC","FCO",NA,NA,NA
"SARDINA","PIÑA","piña","ENT","FCA",NA,NA,NA
"OTRAS","CHARRITO","charrito","ENT","FCO","IND",NA,NA
"CABRILLA","CABRILLA CUERO","cabrilla cuero","ENT","FCA",NA,NA,NA
"JUREL","JUREL CASTILLA","jurel castilla","ENT","FCO",NA,NA,NA
"LEBRANCHA","OJO PERRA","ojo perra","DESV","FCO",NA,NA,NA
"OTRAS","CAIMAN","caiman","ENT","FCO",NA,NA,NA
"SARDINA","SARDINA RAYADA","sardina rayada","ENT","FCA",NA,NA,NA
"OTRAS","CANGREJO AZUL","cangrejo azul","ENT","FCO",NA,NA,NA
"OTRAS","NEGRILLO","negrillo","ENT","FCO",NA,NA,NA
"PETO","CARITO","carito","ENT","FCO",NA,NA,NA
"CAMARON","CAMARON ROCA","camaron roca","ENT","FCO",NA,NA,NA
"ALGAS","ALGA","alga","ENT","FCA",NA,NA,NA
"PAMPANO","PAMPANO HEBRA","pampano hebra","ENT","FCO",NA,NA,NA
"ALGAS","ALGA","alga","SECA",NA,NA,NA,NA
"ALGAS","ALGA GELIDIUM","alga gelidium","ENT","FCA",NA,NA,NA
"OTRAS","TAMBOR","tambor","DESV","FCO",NA,NA,NA
"CAZON","CAZON LEY","cazon ley","DESV","FCO",NA,NA,NA
"SARDINA","SARDINA BOCONA","sardina bocona","DESV","FCA",NA,NA,NA
"OTRAS","RANA","rana","DE CULTIVO","ENT","FCA",NA,NA
"ANCHOVETA","BOQUERON","boqueron","ENT","FCO",NA,NA,NA
"BAGRE","BARBETA","barbeta","ENT","FCA",NA,NA,NA
"CAMARON","CAMARON CEBRA","camaron cebra","ENT","FCO",NA,NA,NA
"CAMARON","CAMARON","camaron","DE ALTA MAR","DESC","COCIDO",NA,NA
"CAMARON","CAMARON CEBRA","camaron cebra","DESC","FCO",NA,NA,NA
"OTRAS","ORIHUELOS","orihuelos","ENT","FCO",NA,NA,NA
"RONCO","RONCADINA","roncadina","ENT","FCA",NA,NA,NA
"BANDERA","CACUMO","cacumo","ENT","FCO",NA,NA,NA
"TIBURON","TIBURON CARTON","tiburon carton","ENT","FCO",NA,NA,NA
"OTRAS","PISTOLA","pistola","ENT","FCA",NA,NA,NA
"CARPA","CARPA CUERUDA","carpa cueruda","ENT","FCA",NA,NA,NA
"PETO","PETO","peto","ENT","FCO",NA,NA,NA
"CAMARON","CAMARON SIETE BARBAS","camaron siete barbas","ENT","FCO",NA,NA,NA
"OTRAS","PEJE LAGARTO","peje lagarto","ENT","FCO",NA,NA,NA
"CAMARON","CAMARON ESTERO","camaron estero","DESC","SECO",NA,NA,NA
"OTRAS","CHARCHINA","charchina","ENT","FCA",NA,NA,NA
"CARACOL","CARACOL TEGOGOLO","caracol tegogolo","DE AGUA DULCE","ENT","FCO",NA,NA
"CAMARON","CAMARON","camaron","DE AGUA DULCE","ENT","FCO",NA,NA
"RAYA Y SIMILARES","CHUCHO","chucho","ENT","FCO",NA,NA,NA
"ALMEJA","ALMEJA PURPURA","almeja purpura","ENT","FCA",NA,NA,NA
"OTRAS","BOTETE NEGRO","botete negro","ENT","FCO",NA,NA,NA
"BAGRE","BAGRE AZUL","bagre azul","DE AGUA DULCE","ENT","FCO",NA,NA
"OTRAS","PATA CABRA","pata cabra","ENT","FCA",NA,NA,NA
"MOJARRA","MOJARRA PEINETA","mojarra peineta","ENT","FCA",NA,NA,NA
"OTRAS","CHARRITO","charrito","ENT","FCO",NA,NA,NA
"CARPA","CARPA ESPEJO","carpa espejo","ENT","FCA",NA,NA,NA
"ANCHOVETA","ANCHOA","anchoa","ENT","FCA",NA,NA,NA
"OTRAS","SOLDADITO","soldadito","ENT","FCO",NA,NA,NA
"OTRAS","BACINICO","bacinico","ENT","FCO",NA,NA,NA
"ATUN","ATUN OJO GRANDE","atun ojo grande","ENT","FCO",NA,NA,NA
"MOJARRA","MOJARRA GUAPOTA","mojarra guapota","ENT","FCA",NA,NA,NA
"OTRAS","MARLIN RAYADO","marlin rayado","ENT","FCO",NA,NA,NA
"JUREL","","","COCINERO","DESV","FCO",NA,NA
"ALGAS","ALGA GIGARTINA","alga gigartina","SECA",NA,NA,NA,NA
"OTRAS","OTRAS ESPECIES SIN REGISTRO OFICIAL","otras especies sin registro oficial","DE AGUA DULCE",NA,NA,NA,NA
"CORVINA","CORVINA AZUL","corvina azul","ENT","FCA",NA,NA,NA
