"recorded_taxa_group","recorded_taxa_name_clean","recorded_scientific_name","scientific_name_recorded_T.F","recorded_common_name","IHH_fishery","IHH_highest_taxonomic_id","IHH_highest_taxonomic_resolution","IHH_species","IHH_genus","IHH_family","IHH_order","IHH_class","IHH_functional_major_groups_sm","Hem_species_1","Hem_species_2","Hem_species_3","Hem_species_4","Hem_species_5","Hem_species_6","Hem_species_7","Hem_species_8","Hem_species_9","Hem_species_10","Hem_species_11","Hem_species_12","Hem_species_13","Hem_species_14","Hem_species_15","Hem_species_16","Hem_species_17","Hem_species_18","Hem_species_19","Hem_species_20","Hem_species_21","Hem_species_22","Hem_species_23","Hem_species_24","Hem_species_25","Hem_species_26","Hem_species_27","Hem_species_28","Hem_species_29","Hem_species_30","Hem_species_31","Hem_species_32","Hem_species_33","Hem_species_34","Hem_species_35","Hem_species_36","Hem_species_37","Hem_species_38","Hem_species_39","Hem_species_40","Hem_species_41","Hem_species_42","Hem_species_43","Hem_species_44","Hem_species_45","Hem_species_46","Hem_species_47"
"CAMARON","CAMARON AZUL",NA,FALSE,"camaron azul","Camaron","Penaeus stylirostris","Species","Penaeus stylirostris","Litopenaeus","Penaeidae","Decapoda","Malacostraca","Shrimps, prawns","Litopenaeus stylirostris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAMARON","CAMARON CAFE",NA,FALSE,"camaron cafe","Camaron","Penaeus californiensis","Species","Penaeus californiensis","Farfantepenaeus","Penaeidae","Decapoda","Malacostraca","Shrimps, prawns","Farfantepenaeus californiensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MACARELA","MACARELA (SCOMBER JAPONICUS)","Scomber japonicus",TRUE,"macarela","Pelagicos Menores","Scomber japonicus","Species","Scomber japonicus","Scomber","Scombridae","Perciformes","Actinopterygii","Pelagic marine fishes","Auxis thazard","Decapterus macarellus","Decapterus macrosoma","Decapterus muroadsi","Elagatis bipinnulata","Scomber japonicus","Scomberomorus concolor","Scomberomorus sierra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SARDINA","SARDINA CRINUDA",NA,FALSE,"sardina crinuda","Pelagicos Menores","Opisthonema berlangai","Species","Opisthonema berlangai","Opisthonema","Clupeidae","Clupeiformes","Actinopterygii","Pelagic marine fishes","Opisthonema bulleri","Opisthonema libertate","Opisthonema medirastre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SARDINA","PIÑA",NA,FALSE,"piña",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oligoplites altus","Oligoplites refulgens","Oligoplites saurus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SARDINA","SARDINA MONTERREY (SARDINOPS CAERULEUS)","Sardinops caeruleus",TRUE,"sardina monterrey","Pelagicos Menores","Sardinops sagax","Species","Sardinops sagax","Sardinops","Clupeidae","Clupeiformes","Actinopterygii","Pelagic marine fishes","Sardinops caeruleus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RAYA Y SIMILARES","MANTARRAYA",NA,FALSE,"mantarraya","Rayas y Similares","Mobula birostris","Species","Mobula birostris","Mobula","Myliobatidae","Myliobatiformes","Elasmobranchii","Demersal marine fishes","Dasyatis dipterura","Dasyatis longa","Gymnura marmorata","Manta birostris","Mobula thurstoni","Aetobatus narinari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TIBURON","ANGELITO (SQUATINA SQUATINA)","Squatina squatina",TRUE,"angelito","Tiburon","Squatina californica","Species","Squatina californica","Squatina","Squatinidae","Squatiniformes","Elasmobranchii","Demersal marine fishes","Squatina guggenheim","Squatina californica","Bellator loxias","Prionotus horrens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAIBA","JAIBA",NA,FALSE,"jaiba","Jaiba","Callinectes spp","Genus","NEI","Callinectes","Portunidae","Decapoda","Malacostraca","Crustaceans","Cancer amphioetus","Cancer antennarius","Metacarcinus anthonyi","Metacarcinus gracilis","Cancer johngarthi","Cancer productus","Arenaeus mexicanus","Callinectes arcuatus","Callinectes bellicosus","Callinectes toxotes","Cronius ruber","Euphylax dovii","Euphylax robustus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CABRILLA","CABRILLA",NA,FALSE,"cabrilla","Escama","Mycteroperca acutirostris","Species","Mycteroperca acutirostris","Mycteroperca","Serranidae","Perciformes","Actinopterygii","Demersal marine fishes","Serranus cabrilla","Alphestes immaculatus","Alphestes multiguttatus","Cephalopholis panamensis ","Hyporthodus acanthistius","Epinephelus analogus ","Epinephelus itajara","Hyporthodus niphobles","Hyporthodus niveatus","Mycteroperca jordani","Mycteroperca prionura","Mycteroperca rosacea","Hemanthias peruanus","Hyporthodus nigritus","Epinephelus labriformis","Lutjanus analis","Dermatolepis dermatolepis","Epinephelus analogus","Mycteroperca xenarcha","Paralabrax maculatofasciatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PULPO","PULPO",NA,FALSE,"pulpo","Pulpo","Octopus spp","Genus","NEI","Octopus","Octopodidae","Octopoda","Cephalopoda","Cephalopods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","COCHI",NA,FALSE,"cochi","Escama","Balistes polylepis","Species","Balistes polylepis","Balistes","Balistidae","Tetraodontiformes","Actinopterygii","Demersal marine fishes","Balistes polylepis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
