rgn_id,location,estado,ecorgn,id
Region_1,marine,Baja_California,Upper_Gulf,1
Region_2,marine,Baja_California,Midriff_Region,2
Region_3,marine,Baja_California_Sur,Central_Gulf,3
Region_4,marine,Baja_California_Sur,Southern_Gulf,4
Region_5,marine,Sonora,Upper_Gulf,5
Region_6,marine,Sonora,Midriff_Region,6
Region_7,marine,Sonora,Central_Gulf,7
Region_8,marine,Sinaloa,Southern_Gulf,8
Region_9,marine,Nayarit,Southern_Gulf,9
Region_1,land,Baja_California,Upper_Gulf,10
Region_2,land,Baja_California,Midriff_Region,11
Region_3,land,Baja_California_Sur,Central_Gulf,12
Region_4,land,Baja_California_Sur,Southern_Gulf,13
Region_5,land,Sonora,Upper_Gulf,14
Region_6,land,Sonora,Midriff_Region,15
Region_7,land,Sonora,Central_Gulf,16
Region_8,land,Sinaloa,Southern_Gulf,17
Region_9,land,Nayarit,Southern_Gulf,18
